source,dataset,seed,train_frac,scale,model_type,tune_time,train_time,trainable_params,total_params,test_mse,test_r2,eval_time,data_length,training_efficiency,param_efficiency,tuning_efficiency,inference_efficiency
final,lorenz,43,0.3,large,pyreco_standard,242.08927822113037,36.368841886520386,2100,52150,0.005189041565105695,0.9988498925523117,47.375022172927856,,0.027464439703758677,0.47564257948082483,0.004125956736976929,0.02110816909471072
final,lorenz,43,0.3,large,lstm,858.052845954895,12.874910354614258,49077,49077,0.0025892795201330264,0.9994261079579171,0.06133317947387695,,0.07762586323359279,0.0203644494894445,0.0011647605523421257,16.304122898161754
final,lorenz,43,0.5,small,pyreco_standard,10.259608268737793,1.545342206954956,300,1450,0.00036879414123802966,0.9997698240248643,0.8092830181121826,,0.6469564945348776,3.332554971566309,0.09744716371131966,1.2356601361444164
final,lorenz,43,0.5,small,lstm,1300.7576072216034,41.619850158691406,952,952,0.0002717125172119499,0.9998304157072673,0.007200956344604492,,0.024022921463487126,1.0502409301116986,0.0007686523679644173,138.8511610111567
final,lorenz,43,0.5,medium,pyreco_standard,76.41962194442749,11.529592990875244,900,10350,0.00020270108719009272,0.9998734879023609,6.0158281326293945,,0.08672235021403886,1.1109693077033924,0.013083988763324192,0.16622812549247398
final,lorenz,43,0.5,medium,lstm,1000.652783870697,28.63783597946167,10052,10052,0.0006565938174329511,0.9995901992323187,0.018987178802490234,,0.03490452857697316,0.09944191203645114,0.000998938107548948,52.66434503286084
final,lorenz,43,0.5,large,pyreco_standard,422.19122672080994,64.3681640625,2100,52150,0.00012996340922867403,0.9999188857655094,33.10514497756958,,0.015534369898452307,0.4761516236256598,0.002368402799753916,0.030206784186287864
final,lorenz,43,0.5,large,lstm,870.9342269897461,11.386124849319458,49077,49077,0.00011461500094977123,0.9999284651878682,0.042227983474731445,,0.087819902785251,0.020374685592297465,0.0011481101936892078,23.680418464213563
final,lorenz,43,0.6,small,pyreco_standard,12.575993061065674,1.9356729984283447,300,1450,0.0001893470117874224,0.9998668187675149,0.6270031929016113,,0.516547114637769,3.3328782862974293,0.07950598687566393,1.5948856663497921
final,lorenz,43,0.6,small,lstm,1872.0057668685913,26.49234104156494,952,952,0.00011961298817214495,0.9999158676704977,0.008433103561401367,,0.03774358137539097,1.0503306904829908,0.0005341414459470236,118.56624627856067
final,lorenz,43,0.6,medium,pyreco_standard,93.74218702316284,14.419842958450317,900,10350,9.908610355072304e-05,0.9999303056897045,4.8840179443359375,,0.06934404481566706,1.1110324385080732,0.01066681210217358,0.20474941055658955
final,lorenz,43,0.6,medium,lstm,1517.1545140743256,15.896260023117065,10052,10052,7.543871649926417e-05,0.9999469385804105,0.015461921691894531,,0.06290453693017763,0.09947740142290183,0.000659093670845664,64.6708312908412
final,lorenz,43,0.6,large,pyreco_standard,514.5151219367981,78.34255790710449,2100,52150,7.090616180584719e-05,0.9999501266487866,26.04003405570984,,0.012763817529045585,0.4761665002296601,0.0019434805355014186,0.03840240605900139
final,lorenz,43,0.6,large,lstm,1380.589339017868,19.63053607940674,49077,49077,2.0388777963567314e-05,0.999985659121037,0.034192800521850586,,0.050940310755433385,0.020375850984069646,0.0007243179634489245,29.245067372987045
final,lorenz,43,0.7,small,pyreco_standard,15.255232095718384,2.2991812229156494,300,1450,0.00017571650872432544,0.9998716427303569,0.4470229148864746,,0.434881425562866,3.3328943661199695,0.06554286233823502,2.237016782992378
final,lorenz,43,0.7,small,lstm,1639.760360956192,76.69374513626099,952,952,1.6008499895314457e-05,0.9999883061224437,0.00525212287902832,,0.013038720319460923,1.0504067812139313,0.0006098380771501778,190.36295609840593
final,lorenz,43,0.7,medium,pyreco_standard,111.03876876831055,17.01709794998169,900,10350,7.380698638678016e-05,0.9999460855253615,3.635857343673706,,0.05876125469238324,1.111049971639322,0.009005377919908629,0.27503821807028667
final,lorenz,43,0.7,medium,lstm,1133.2732779979706,17.64658284187317,10052,10052,9.31725940311463e-05,0.9999319393501371,0.020579099655151367,,0.056664335052624845,0.09947590925927458,0.0008823396420625635,48.59062962553205
final,lorenz,43,0.7,large,pyreco_standard,614.1692020893097,93.03163504600525,2100,52150,5.130391516137331e-05,0.9999625235527388,19.31413698196411,,0.01074862881115243,0.47617240351444534,0.001628154779697296,0.05177554395302642
final,lorenz,43,0.7,large,lstm,1190.6839299201965,13.007030725479126,49077,49077,0.00023126286363091362,0.9998310672687444,0.028290748596191406,,0.07686850377324768,0.020372700998350417,0.0008397115651808995,35.34599484369158
final,lorenz,43,0.8,small,pyreco_standard,17.298166036605835,2.6852030754089355,300,1450,0.00012586261741205168,0.9999095058496577,0.27142786979675293,,0.3723774721656413,3.333020576096939,0.057804361799356004,3.684206476447418
final,lorenz,43,0.8,small,lstm,1754.5029768943787,62.73821496963501,952,952,3.826721797727289e-05,0.9999724861960761,0.008339881896972656,,0.015938809714959985,1.0503901636616728,0.0005699463031953169,119.89139905732901
final,lorenz,43,0.8,medium,pyreco_standard,129.37761688232422,19.679471254348755,900,10350,4.3551800740732066e-05,0.9999686866260614,2.3138539791107178,,0.05081277961633798,1.1110750839455306,0.007729070166801076,0.4321792026846597
final,lorenz,43,0.8,medium,lstm,1332.7267289161682,33.78163290023804,10052,10052,1.2606256140454915e-05,0.9999909362091629,0.016146183013916016,,0.029601615456560752,0.09948177842492884,0.0007503345687919569,61.93030692339195
