dataset,seed,train_frac,budget,budget_value,model_type,trainable_params,total_params,tune_time,train_time,val_mse,test_mse,test_mae,test_r2
lorenz,43,0.5,small,1000,pyreco_standard,300,1450,55.148836851119995,1.5902001857757568,0.0013968253191238196,0.0008494035289086611,0.01955006595939338,0.9994696934953944
lorenz,43,0.5,small,1000,lstm,952,952,26.847741842269897,26.824092149734497,0.3130338890922958,0.2782638448471522,0.40066679029585467,0.8262720581010254
lorenz,43,0.5,medium,10000,pyreco_standard,900,10350,427.1284170150757,12.242985963821411,0.001132799826765354,0.0004020084360411919,0.013491712908896484,0.9997490148306625
lorenz,43,0.5,medium,10000,lstm,10052,10052,31.55964708328247,31.549226999282837,0.1198056742845826,0.10308224378397471,0.27158815092215216,0.9356428569843303
lorenz,43,0.5,large,30000,pyreco_standard,1500,27250,1109.220244884491,31.718276977539062,0.0009870144906891922,0.0004655925501696244,0.01387177555385123,0.9997093174805053
lorenz,43,0.5,large,30000,lstm,29939,29939,31.344900131225586,31.304583072662354,0.11418086174069574,0.09938403710816943,0.25109773704646277,0.9379517513894141
lorenz,43,0.7,small,1000,pyreco_standard,300,1450,80.85108184814453,2.342866897583008,0.00027925323571230046,0.0003965709262466432,0.014677605904880422,0.9997104042335416
lorenz,43,0.7,small,1000,lstm,952,952,41.090384006500244,41.06535482406616,0.12896589327758695,0.13816875225501954,0.28882400202435315,0.8991023217748295
lorenz,43,0.7,medium,10000,pyreco_standard,900,10350,611.9408869743347,17.669286012649536,0.0002600246764373922,0.00034964102684978746,0.012371499809299878,0.9997446747745373
lorenz,43,0.7,medium,10000,lstm,10052,10052,17.448030948638916,17.40979313850403,0.20349147705965973,0.2657523240585311,0.413229649270815,0.80593446750566
lorenz,43,0.7,large,30000,pyreco_standard,1500,27250,1581.324524641037,45.92722201347351,0.0001971062786988234,0.00041132328299941124,0.01263758688185311,0.9996996313306934
lorenz,43,0.7,large,30000,lstm,29939,29939,31.496232986450195,31.453885793685913,0.16771824964736143,0.246872920036314,0.4031543958485674,0.8197211450360525
lorenz,43,0.9,small,1000,pyreco_standard,300,1450,104.9148941040039,3.1016640663146973,0.0002286143479127724,0.0003157360053938693,0.013624489747066957,0.9997423843395946
lorenz,43,0.9,small,1000,lstm,952,952,53.87668585777283,53.85063290596008,0.27344297830896536,0.289284968838145,0.3845036393252476,0.7639662977314509
